absolute_path,relative_path,exists,mean_R,mean_G,mean_B
C:\Users\Vlad\source\repos\app_programm\lab4\application-programming-labs-2025\turtle_images\yellow\000011.jpg,turtle_images\yellow\000011.jpg,True,107.92867131439537,86.38834478253325,65.53323245108146
C:\Users\Vlad\source\repos\app_programm\lab4\application-programming-labs-2025\turtle_images\red\000008.jpg,turtle_images\red\000008.jpg,True,133.121279178338,131.7811577964519,91.55717553688142
C:\Users\Vlad\source\repos\app_programm\lab4\application-programming-labs-2025\turtle_images\yellow\000015.jpg,turtle_images\yellow\000015.jpg,True,149.24052200374533,157.18582631086142,156.20648876404493
C:\Users\Vlad\source\repos\app_programm\lab4\application-programming-labs-2025\turtle_images\yellow\000009.jpg,turtle_images\yellow\000009.jpg,True,154.9098267711709,173.16779675301294,145.83624474222538
C:\Users\Vlad\source\repos\app_programm\lab4\application-programming-labs-2025\turtle_images\red\000013.jpg,turtle_images\red\000013.jpg,True,182.82512664165102,168.68694594277673,152.70287933864915
C:\Users\Vlad\source\repos\app_programm\lab4\application-programming-labs-2025\turtle_images\yellow\000008.jpg,turtle_images\yellow\000008.jpg,True,204.4889092705908,197.26109411382467,185.01621473439107
